Altium Designer Pick and Place Locations
C:\Users\takeruhayashi\gaps\readout-board\drs4-board\altium\schematics\Project Outputs for UCLA-DRS4\Pick Place for DRS4-PCB_V2_5.txt

========================================================================================================================
File Design Information:

Date:       14/11/22
Time:       12:46
Revision:   ab08a46076ada143160e2cae3f1c065cba49c693
Variant:    No variations
Units used: mil

Designator Comment                                                Layer       Footprint                                  Center-X(mil) Center-Y(mil) Rotation 
FB15G      742792731                                              BottomLayer FB_Wurth_Electronics_742792731_100Ohms     4533.465      625.000       90       
FB15F      742792731                                              BottomLayer FB_Wurth_Electronics_742792731_100Ohms     3908.465      625.000       90       
FB15E      742792731                                              BottomLayer FB_Wurth_Electronics_742792731_100Ohms     3283.465      625.000       90       
FB15D      742792731                                              BottomLayer FB_Wurth_Electronics_742792731_100Ohms     2658.465      625.000       90       
FB15C      742792731                                              BottomLayer FB_Wurth_Electronics_742792731_100Ohms     2033.465      625.000       90       
FB15B      742792731                                              BottomLayer FB_Wurth_Electronics_742792731_100Ohms     1408.465      625.000       90       
FB15A      742792731                                              BottomLayer FB_Wurth_Electronics_742792731_100Ohms     783.465       625.000       90       
C313       "Cap_Murata_ GRM21BC71E106ME11L_10uF"                  BottomLayer Cap_Murata__GRM21BC71E106ME11L_10uF        9846.575      621.417       0        
C321       Cap_Taiyo_Yuden_TMK105B7104KV-FR_100nF                 BottomLayer Cap_Taiyo_Yuden_TMK105B7104KV-FR_100nF     2240.000      6750.000      90       
MHNP13     "Mounting Hole Non-plated 89mil with 160mil Standoff"  TopLayer    MTHNP89MIL                                 7501.890      7352.362      90       
MHNP12     "Mounting Hole Non-plated 89mil with 160mil Standoff"  TopLayer    MTHNP89MIL                                 4997.953      7352.362      90       
J1         09452819001                                            TopLayer    09452812561                                12194.350     4500.000      90       
R153       TNPW02014K99BEED                                       BottomLayer RES_TNPW0201_VIS                           6858.898      6275.984      180      
R152       TNPW02014K99BEED                                       BottomLayer RES_TNPW0201_VIS                           6798.425      6275.984      0        
R151       TNPW02014K99BEED                                       BottomLayer RES_TNPW0201_VIS                           6858.894      6302.756      0        
R150       TNPW02014K99BEED                                       BottomLayer RES_TNPW0201_VIS                           6798.421      6302.756      180      
