Altium Designer Pick and Place Locations
C:\Users\Sean Quinn\Desktop\GAPS-TOF-ENGINEERING\gitlab_cloud\tof-drs4-board\altium\schematics\Project Outputs for UCLA-DRS4-2.1\Pick Place for DRS4-PCB.txt

========================================================================================================================
File Design Information:

Date:       30/03/21
Time:       13:19
Revision:   1a5ae73b0fceca7958c83d8df2c3d211b4ba65f8
Variant:    No variations
Units used: mil

Designator Comment                                     Layer       Footprint                                  Center-X(mil) Center-Y(mil) Rotation             Description                                                                                                                                               
U7         TLV70218DBVT                                TopLayer    TI-DBV5_N                                  7274.756      6692.401      360                  "Single Output LDO, 300 mA, Fixed 1.8 V Output, 2 to 5.5 V Input, with Low IQ, 5-pin SOT-23 (DBV), -40 to 125 degC, Green (RoHS & no Sb/Br)"              
C260       "1uF 16 V Tantalum"                         TopLayer    KEMT-T491A105K016AT_L                      7627.000      6955.000      270                  "Tantalun Capacitor, 1 uF, +/- 10%, 16 V, -55 to 125 degC, 2-Pin SMD, RoHS, Tape and Reel"                                                                
U49        MAX11645EUA+                                BottomLayer Maxim_Electronics_8-uMAX_0                 9304.000      4907.000      180                  ""                                                                                                                                                        
U43        LM321LVIDBVR                                BottomLayer Texas_Instruments_LM321LVIDBVR_MFG         9288.551      4729.168      90                   "IC OPAMP GP 1 CIRCUIT SOT23-5"                                                                                                                           
U31        INA200AIDR                                  BottomLayer D8                                         9680.000      4800.000      360                  "High-Side Measurement Current-Shunt Monitor with Comparator and Reference"                                                                               
TP29       TP_Harwin_S2761_46R                         TopLayer    TP_Harwin_S2761_46R                        9301.000      4826.000      180                  "Circuit Board Hardware - PCB SMT Mini Test Terminal, Reel"                                                                                               
R128       LVK20R100CER                                BottomLayer OH_LVK20_OHM                               1545.000      5030.000      180                  "Current Sense Resistors - SMD .1 OHM.25% 3/4W"                                                                                                           
R127       LVK20R100CER                                BottomLayer OH_LVK20_OHM                               3162.721      4373.000      360                  "Current Sense Resistors - SMD .1 OHM.25% 3/4W"                                                                                                           
R126       "2k 1% 0603"                                BottomLayer RESC1608X55X30ML15T15                      9449.340      5005.805      0                    "ERJ-3EKF2001V RES SMD 2K OHM 1% 1/10W 0603"                                                                                                              
R125       "47K 5% 0603"                               BottomLayer RESC0603(1608)_L                           9144.507      4766.000      270                  "47K 0.1W 5% 0603 (1608 Metric)  SMD"                                                                                                                     
R124       "47K 5% 0603"                               BottomLayer RESC0603(1608)_L                           9144.507      4650.000      270                  "47K 0.1W 5% 0603 (1608 Metric)  SMD"                                                                                                                     
R123       "10K 5% 0603"                               BottomLayer RESC0603(1608)_L                           9724.000      4639.000      360                  "10K 0.1W 5% 0603 (1608 Metric)  SMD"                                                                                                                     
R122       "10K 5% 0603"                               BottomLayer RESC0603(1608)_L                           9619.000      4639.000      360                  "10K 0.1W 5% 0603 (1608 Metric)  SMD"                                                                                                                     
R121       "10K 5% 0603"                               BottomLayer RESC0603(1608)_L                           9873.000      4841.000      270                  "10K 0.1W 5% 0603 (1608 Metric)  SMD"                                                                                                                     
R118       LVK20R100CER                                BottomLayer OH_LVK20_OHM                               7108.325      2910.000      360                  "Current Sense Resistors - SMD .1 OHM.25% 3/4W"                                                                                                           
